family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
uniform,0.25,48,53106,982,146,18.135,3.1834,1.6867,0.0099037,18.028,3.0577,1.7258,18.754,3.8391,1.4354
uniform,0.25,48,53108,980,148,19.207,3.3404,1.6522,0.0083225,18.816,2.9646,1.7252,21.818,5.3129,0.97633
uniform,0.25,64,53182,1509,507,25.057,3.4833,2.4385,0.0099345,25.028,3.3093,2.5637,25.245,4.4697,1.3383
uniform,0.25,64,53131,1533,483,24.546,5.0809,3.7096,0.0099931,25.92,5.1021,4.0664,18.234,4.9976,1.7205
uniform,0.25,64,53122,1547,469,18.189,4.0152,2.7065,0.007719,17.45,3.79,2.7776,24.226,5.7629,1.88
uniform,0.25,64,53110,1559,457,21.597,4.2313,3.0134,0.008997,21.883,4.1964,3.2273,19.952,4.4178,1.3229
uniform,0.25,64,53162,1581,435,22.01,3.9401,2.6789,0.009156,21.735,3.8024,2.7863,24.034,4.8766,1.622
uniform,0.25,64,53137,1557,459,27.581,4.5237,3.4481,0.0093967,28.07,4.5701,3.6826,24.458,4.2357,1.3766
grown,0.05,8,5702,28,0,15.92,3.4554,0.056402,0.056402,17.599,3.4495,0.04856,10.692,3.4701,0.072222
grown,0.05,8,4348,28,0,13.381,3.163,0.05034,0.05034,12.467,2.4915,0.032871,17.047,5.2861,0.096957
grown,0.05,8,5831,25,3,23.698,6.4629,1.9925,0.092256,25.555,4.7914,2.2531,17.051,9.8727,0.83332
grown,0.05,8,4712,28,0,10.58,2.2341,0.048131,0.048131,8.4883,1.9253,0.036596,21.469,4.0285,0.10424
grown,0.05,8,4797,27,1,9.6328,2.7567,1.2735,0.049437,9.9447,2.3411,1.3824,8.4743,3.8574,0.79269
grown,0.05,8,4399,28,0,13.055,3.6169,0.046446,0.046446,12.883,2.773,0.033829,14.398,7.6033,0.10275
grown,0.05,12,453,64,2,29.001,5.604,2.3871,0.092721,38.118,6.1972,3.1412,14.437,4.9162,1.1783
grown,0.05,12,500,65,1,12.701,3.1927,0.58744,0.067748,11.994,2.3649,0.6053,17.946,7.2507,0.38575
grown,0.05,12,642,66,0,27.829,4.923,0.098156,0.098156,35.242,5.3746,0.095804,17.916,4.4413,0.10038
grown,0.05,12,559,65,1,20.312,4.4691,0.59739,0.062766,19.343,3.507,0.60648,24.06,7.2934,0.55633
grown,0.05,12,114,61,5,23.425,4.6855,0.48482,0.072952,26.781,4.636,0.55876,16.668,4.7641,0.33313
grown,0.05,12,177,65,1,18.073,3.3515,0.29847,0.052575,17.786,2.8863,0.30853,19.915,5.5631,0.21819
grown,0.05,16,1829,107,13,21.561,6.6033,2.7437,0.080182,22.709,6.4126,3.0307,17.238,7.197,1.4342
grown,0.05,16,1993,112,8,17.891,4.7616,1.5404,0.0495,18.425,4.3064,1.6627,15.202,6.4535,0.75677
grown,0.05,16,2505,115,5,20.142,4.8943,2.1056,0.080172,20.472,4.3196,2.4599,19.258,6.1398,0.48452
grown,0.05,16,2410,115,5,39.492,9.0657,2.3505,0.12041,45.495,9.1303,2.8289,25.694,8.9508,1.0752
grown,0.05,16,2462,120,0,14.152,4.2284,0.06214,0.06214,13.994,2.9986,0.055677,14.84,7.5922,0.085253
grown,0.05,16,2284,120,0,30.9,6.9801,0.093193,0.093193,35.12,6.9142,0.084943,19.414,7.1148,0.10832
