op,table,P,S_over_R,M_par,M_perp,M_o,N_tz,N_zt,res_par,res_perp,Rc,M_par_ref,M_par_relerr,M_perp_ref,M_perp_relerr,M_o_ref,M_o_relerr,N_tz_ref,N_tz_relerr,N_zt_ref,N_zt_relerr
rpy,B10,9,0.2,3.267114646321788,2.668450939737829,0.01236103151860292,-0.24107290705481588,0.24107290705481588,7.276300232463564e-17,1.3242253930114805e-16,3.2161848401793964,3.13615,0.04175968825527724,2.6454,0.008713593308319688,-0.00777,2.590866347310543,-0.23691,0.017571681460537197,0.14811,0.6276612453906953
rpy,B10,9,0.5,3.006752290198533,2.444854024098572,0.031071012943032196,-0.1866868592232494,0.18668685922324937,1.4969163506409929e-16,2.091483455066296e-16,3.6547555002038594,2.90386,0.03543293760667972,2.43311,0.004826754276860389,7e-05,442.87161347188857,-0.18401,0.014547357335195885,0.14683,0.2714490173891534
rpy,B10,9,1,2.68251241894694,2.1836073325191503,0.043542424911199154,-0.1296436522383677,0.1296436522383677,1.335336327935191e-16,8.637163628004841e-17,4.385706600244631,2.63222,0.0191064648649961,2.18015,0.0015858232319567371,0.02604,0.6721361333025788,-0.12991,0.0020502483383287285,0.11074,0.1707030182261848
rpy,B10,9,2,2.2695049008370307,1.8724643261357101,0.04581904157516506,-0.07292455438408181,0.07292455438408181,2.1899699850240953e-16,1.5642022773737818e-16,5.847608800326175,2.25081,0.00830585470876295,1.87183,0.000338880205846694,0.03871,0.18364871028584495,-0.073,0.001033501587920341,0.06804,0.07178945302883315
rpy,B10,9,5,1.7292019911957834,1.4910098049283032,0.03269489622513286,-0.023812099390720595,0.023812099390720595,9.169292910037128e-17,1.359260081279149e-17,10.233315400570806,1.72694,0.0013098261640725904,1.49099,1.328307252437186e-05,0.03184,0.02684975581447417,-0.02381,8.817264681197943e-05,0.02349,0.013712192027270927
rpy,B10,9,10,1.4260713808987537,1.2850152808057502,0.02028719400763238,-0.008102728264897982,0.008102728264897982,2.6953134124224738e-17,3.535091641757383e-18,17.542826400978523,1.4258,0.00019033588073627533,1.28501,4.109544478440403e-06,0.02019,0.004813967688577474,-0.0081,0.0003368228269114166,0.00808,0.0028129040715323835
rpy,B10,9,1000,1.0051069965740018,1.0034046660448495,0.00025046558839503583,-1.1621396629349179e-06,1.1621396629349176e-06,1.2277234957827653e-16,8.878908013063003e-22,1464.8260044817068,1.00511,2.9881565183184777e-06,1.0034,4.650234053606223e-06,0.00025,0.00186235358014329,0.0,,0.0,
rpy,B10,10,0.1,3.4901419059747094,2.84007423602092,0.027103748569488443,-0.2509055410172354,0.25090554101723533,8.292675991538809e-17,1.8178016530883918e-16,3.3978713763747797,3.34113,0.044599254136986365,2.80726,0.0116890619397278,-0.00243,12.153805995674256,-0.24454,0.02603067398885819,0.12902,0.9447026896390897
rpy,B10,10,0.2,3.38267730420978,2.744987164643035,0.036780616422003753,-0.22861434625743962,0.22861434625743962,5.4221084777838956e-17,1.2369260305557513e-16,3.5596747752497695,3.25377,0.039617829228796246,2.7206,0.008963892024933726,0.00303,11.138817300991338,-0.2264,0.00978068134911498,0.13853,0.6502876363057796
rpy,B10,10,0.5,3.1084097921754115,2.512281175944261,0.05457809665180116,-0.17703894974176132,0.17703894974176132,1.6152880629299635e-16,2.3837199235113943e-16,4.045084971874737,3.02088,0.028974931866016344,2.50105,0.004490584332284811,0.0225,1.4256931845244962,-0.17746,0.002372648812344678,0.13141,0.34722585603653694
rpy,B10,10,1,2.767194107421355,2.2398624187365277,0.06489535782237879,-0.12294371509844533,0.12294371509844533,1.355602117337046e-16,1.9619765641468356e-16,4.854101966249685,2.71805,0.018080648781793933,2.23606,0.0017004994215394644,0.04355,0.49013450797655095,-0.12335,0.0032937568022267613,0.10364,0.1862573822698315
rpy,B10,10,2,2.33299163499708,1.9147047051902695,0.06314899787187778,-0.06915583974287552,0.06915583974287552,2.5209918344814434e-16,1.3751710624255307e-16,6.47213595499958,2.31491,0.00781094513267482,1.914,0.00036818452992139504,0.05482,0.15193356205541364,-0.06924,0.0012154860936521416,0.06403,0.08005372080080458
rpy,B10,10,5,1.7654679866222804,1.5151714411465402,0.04324850925958654,-0.022581498691551186,0.022581498691551186,8.219781780931206e-17,1.7269760983767633e-16,11.326237921249264,1.76331,0.0012238271332213314,1.51515,1.4151170867726181e-05,0.04227,0.023149024357381955,-0.02258,6.637252219605518e-05,0.02223,0.015811906952370065
rpy,B10,10,10,1.4472242800203838,1.2991140983540417,0.02656489624494723,-0.007683982193652833,0.007683982193652833,8.392853784875622e-18,2.205086205150323e-18,19.41640786499874,1.44697,0.0001757327521536354,1.29911,3.1547398154835133e-06,0.02645,0.004343903400651376,-0.00768,0.000518514798545957,0.00766,0.0031308346805265013
rpy,B10,10,1000,1.005360310718785,1.0035735421360208,0.00032639761859482036,-1.1020807047442124e-06,1.102080704744212e-06,1.3010446751443018e-16,1.3032933131886454e-16,1621.2700567273948,1.00536,3.0906221147035466e-07,1.00357,3.529535578701769e-06,0.00033,0.01091630728842315,0.0,,0.0,
2b,B10,3,0.1,1.9287426478248821,1.784452673591146,-0.07214496084476586,-0.23872608302333873,0.23872608994166947,2.2683298567866245e-08,3.842769052685183e-09,1.2124355652982142,1.90508,0.012420815831819153,1.77827,0.003476791258439878,-0.02784,1.5914138234470496,-0.2097,0.1384171817994217,0.17773,0.34319523964254467
2b,B10,3,0.2,1.8970288309085397,1.7486043458958342,-0.0742122437746746,-0.23337926310052023,0.23337926938394607,6.655625893650833e-10,3.5618112509757225e-09,1.2701705922171769,1.87988,0.009122300842894063,1.74703,0.0009011556160078313,-0.04235,0.7523552249037686,-0.21541,0.08341889002609092,0.18439,0.2656828970331692
2b,B10,3,0.5,1.8124030225667995,1.6528692546935853,-0.07976689549475782,-0.19649742650972685,0.19649742285562236,6.352480276255764e-09,2.1953056056941283e-09,1.4433756729740645,1.80381,0.004763818011209392,1.65357,0.00042377722528512824,-0.06475,0.23192116594220571,-0.19041,0.03197009878539389,0.16643,0.18066107586145744
2b,B10,3,1,1.6988587996913038,1.5336783786923216,-0.08259021135173099,-0.1417074715871561,0.14170747578092346,5.001953933275642e-10,2.722852223414707e-09,1.7320508075688774,1.6961,0.0016265548560249288,1.53416,0.000313931602752236,-0.07683,0.07497346546571643,-0.14019,0.010824392518411398,0.12721,0.11396490669698511
2b,B10,3,2,1.5423145458747787,1.390106041848206,-0.0761042507080461,-0.08090513139904229,0.08090513204321452,8.446785441722534e-10,4.6261505006254403e-10,2.3094010767585034,1.5421,0.00013912578612194335,1.39019,6.039329285490571e-05,-0.07471,0.01866216983062652,-0.0807,0.0025419008555427076,0.07681,0.05331508974371197
2b,B10,3,5,1.31997084548105,1.217201166180758,-0.05138483965014573,-0.02651098174850322,0.02651098174850322,2.8084342614706407e-16,9.052491817174445e-18,4.041451884327381,1.31853,0.0010927665514246518,1.21719,9.17373685129401e-06,-0.05053,0.01691746784377067,-0.0265,0.00041440560389514696,0.02623,0.01071222830740453
2b,B10,3,10,1.1872106481481486,1.125578703703704,-0.030815972222222213,-0.009021097956087902,0.009021097956087904,4.4064431569142944e-16,1.1621827834221446e-16,6.92820323027551,1.18704,0.00014375939155250787,1.12558,1.1516696246226336e-06,-0.03072,0.003124095775462649,-0.00902,0.00012172462171860398,0.009,0.002344217343100496
2b,B10,3,1000,1.0022455084850241,1.001497006982048,-0.00037425075148803566,-1.2938575002456745e-06,1.293857500245675e-06,2.6114522107993854e-16,4.942902913299305e-22,578.504969728005,1.00225,4.481431754498509e-06,1.0015,2.9885351494223257e-06,-0.00037,0.011488517535231533,0.0,,0.0,
2b,B10,4,0.1,2.2811870369826543,2.054294297486471,-0.08260278866913644,-0.27830854023351925,0.27830854023351925,1.0835846676314642e-08,1.185903870064348e-17,1.48492424049175,2.24243,0.017283499142739887,2.05466,0.0001779868754582636,-0.02645,2.1229787776611126,-0.25621,0.08625166946457695,0.17821,0.5616886832025096
2b,B10,4,0.2,2.2357568123800187,2.004926745906934,-0.08240562827375744,-0.26688405119197955,0.26688405119197955,9.034996007419653e-18,1.1555092295834446e-17,1.5556349186104048,2.206,0.013489035530380193,2.00837,0.001714452064642474,-0.03828,1.1527071126895883,-0.25416,0.050063153887234646,0.19188,0.3908904064622658
2b,B10,4,0.5,2.115433901110656,1.87575872179169,-0.08014143485244175,-0.220028991193516,0.220028991193516,8.400750114746101e-18,1.2964001821600769e-17,1.7677669529663689,2.0979,0.008357834553913968,1.87879,0.0016134204505612395,-0.05305,0.510677377048855,-0.21603,0.01851127710742021,0.18135,0.2132836569810641
2b,B10,4,1,1.955692849448955,1.7167925661332315,-0.07371989742677539,-0.15724395144173994,0.15724395144173994,7.38290819806963e-18,8.307002294679766e-18,2.121320343559643,1.94707,0.004428628374406087,1.71813,0.000778424139482131,-0.05866,0.25673197113493673,-0.15631,0.005974994829121225,0.14134,0.11252265064199767
2b,B10,4,2,1.73812422460243,1.5254316198217128,-0.060484147567523856,-0.08948786192864518,0.08948786192864518,5.950105606265956e-18,5.470149534030868e-18,2.8284271247461903,1.73525,0.0016563749329664493,1.52566,0.0001496927089175772,-0.05469,0.10594528373603682,-0.08936,0.0014308631227079403,0.08554,0.046152232039340324
2b,B10,4,5,1.4333553147675224,1.2934779909734762,-0.03710764449375468,-0.029299187179180026,0.029299187179180026,1.293875303457576e-16,1.4301745226566985e-16,4.949747468305833,1.43137,0.0013870031980007928,1.29347,6.177934916354708e-06,-0.03619,0.025356299910325456,-0.02929,0.0003136626555147068,0.02905,0.008577871916696261
2b,B10,4,10,1.2534507582202388,1.1698751788561594,-0.021943634919634657,-0.009969862304026534,0.009969862304026534,1.8097876965863512e-16,1.2665383113310752e-18,8.485281374238571,1.25322,0.00018413225151112274,1.16987,4.4268646597239215e-06,-0.02183,0.005205447532508381,-0.00997,1.3811030437850652e-05,0.00995,0.001996211459953147
2b,B10,4,1000,1.0030394157113702,1.0020262787005725,-0.00026463550782176174,-1.4299347131882153e-06,1.4299347131882153e-06,1.035287065887824e-19,1.8211812268823084e-22,708.5209947489207,1.00304,5.825177756633739e-07,1.00203,3.713760493692688e-06,-0.00026,0.017828876237545227,0.0,,0.0,
2b,B10,5,0.1,2.5562119955595315,2.2497791893825907,-0.08658825589028281,-0.28443191094482334,0.28443190971995935,5.068215351893147e-09,7.858233834967886e-09,1.786366697539284,2.51123,0.017912336010453698,2.25601,0.002761871896582531,-0.0257,2.3691928361977745,-0.27513,0.03380914820202579,0.17193,0.6543471745475447
2b,B10,5,0.2,2.4994888005913514,2.1911315994122056,-0.08352261530544129,-0.27025404055353913,0.27025404485532767,1.272215658634738e-08,3.4256081737134247e-09,1.871431778374488,2.46383,0.014472914361522985,2.19789,0.0030749494232170547,-0.03581,1.3323824436034988,-0.26633,0.014733753439489058,0.18715,0.44405046676637805
2b,B10,5,0.5,2.3491578313750687,2.0382969898543966,-0.07312756119466766,-0.22025462273834034,0.22025462217072653,1.1149366697490857e-08,2.2924609888555264e-09,2.1266270208801,2.32716,0.009452651031759143,2.04229,0.00195516314803646,-0.04449,0.6436853493968906,-0.21971,0.0024788254441780334,0.17928,0.22855099381262012
2b,B10,5,1,2.1519119992395774,1.8512735985737412,-0.0585442757665564,-0.15664731077486152,0.15664731777740215,8.568464295841841e-09,5.2926387169678405e-09,2.5519524250561196,2.14,0.00556635478484921,1.85276,0.0008022633402376868,-0.04292,0.36403252019003735,-0.15664,4.667246464197302e-05,0.14063,0.11389687675035302
