exp,op,phi,mean,std,n,metric
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,3.7682,0.22918,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,4.7252,0.14682,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,5.7574,0.33544,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,6.8244,0.32973,10,prmse_ang
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,8.1688,0.19942,10,prmse_ang
fig4g,M_rpy,0.025,8.4511,0.80657,10,prmse_ang
fig4g,M_rpy,0.05,12.693,0.8563,10,prmse_ang
fig4g,M_rpy,0.075,17.691,0.70982,10,prmse_ang
fig4g,M_rpy,0.1,22.206,0.9056,10,prmse_ang
fig4g,M_rpy,0.125,26.912,0.79819,10,prmse_ang
fig4g,M_rpy,0.15,33.083,1.2472,10,prmse_ang
fig4g,M_rpy,0.175,38.084,1.5169,10,prmse_ang
fig4g,M_rpy,0.2,45.668,1.8474,10,prmse_ang
fig4g,SD,0.025,2.9058,0.30463,10,prmse_ang
fig4g,SD,0.05,6.0261,0.53228,10,prmse_ang
fig4g,SD,0.075,10.744,0.44547,10,prmse_ang
fig4g,SD,0.1,14.251,0.80006,10,prmse_ang
fig4g,SD,0.125,18.449,0.83262,10,prmse_ang
fig4g,SD,0.15,22.432,0.49618,10,prmse_ang
fig4g,SD,0.175,26.329,0.63375,10,prmse_ang
fig4g,SD,0.2,29.745,0.66095,10,prmse_ang
fig4g,SD_Minf,0.025,1.0889,0.19208,10,prmse_ang
fig4g,SD_Minf,0.05,1.2536,0.22478,10,prmse_ang
fig4g,SD_Minf,0.075,1.6685,0.084834,10,prmse_ang
fig4g,SD_Minf,0.1,1.9384,0.1469,10,prmse_ang
fig4g,SD_Minf,0.125,2.4532,0.13191,10,prmse_ang
fig4g,SD_Minf,0.15,3.3029,0.17665,10,prmse_ang
fig4g,SD_Minf,0.175,4.0581,0.32698,10,prmse_ang
fig4g,SD_Minf,0.2,4.9612,0.35288,10,prmse_ang
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,5.7721,3.1749,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,8.1824,4.7133,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,10.648,7.7554,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,10.513,5.2723,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,19.918,11.927,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,24.355,20.77,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,25.52,15.379,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,23.832,23.97,10,max_rel_lin
fig4,SD,0.025,11.764,5.9645,10,max_rel_lin
fig4,SD,0.05,21.803,6.813,10,max_rel_lin
fig4,SD,0.075,48.341,42.39,10,max_rel_lin
fig4,SD,0.1,45.153,12.293,10,max_rel_lin
fig4,SD,0.125,61.174,27.455,10,max_rel_lin
fig4,SD,0.15,78.189,52.109,10,max_rel_lin
fig4,SD,0.175,78.559,48.45,10,max_rel_lin
fig4,SD,0.2,81.629,56.104,10,max_rel_lin
fig4,SD_Minf,0.025,15.551,12.217,10,max_rel_lin
fig4,SD_Minf,0.05,15.579,10.922,10,max_rel_lin
fig4,SD_Minf,0.075,17.174,11.819,10,max_rel_lin
fig4,SD_Minf,0.1,15.616,3.1586,10,max_rel_lin
fig4,SD_Minf,0.125,26.92,18.833,10,max_rel_lin
fig4,SD_Minf,0.15,25.621,17.138,10,max_rel_lin
fig4,SD_Minf,0.175,35.056,20.828,10,max_rel_lin
fig4,SD_Minf,0.2,49.19,80.497,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,1.5038,0.33095,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,2.0316,0.24566,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,2.7637,0.32979,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,3.0718,0.24577,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,3.662,0.23248,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,4.2204,0.33616,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,5.1666,0.26869,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,6.6056,0.5267,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.54501,0.27651,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.59172,0.15175,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.77122,0.090578,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.96907,0.23376,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,1.0474,0.1368,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,1.1409,0.13706,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,1.372,0.25985,10,max_rel_lin
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,1.5244,0.32097,10,max_rel_lin
fig4g,M_rpy,0.025,2.6028,0.25153,10,max_rel_lin
fig4g,M_rpy,0.05,3.8749,0.26934,10,max_rel_lin
fig4g,M_rpy,0.075,5.8639,0.33392,10,max_rel_lin
