cfg,family,param,P,stage,err2_lin,true2_lin,err2_ang,true2_ang
13179,grown,0.2,12,2b,0.00063167338,0.042319836,0.00026061709,0.02916781
13179,grown,0.2,12,b1,0.00019338436,0.042319836,8.4680028e-05,0.02916781
13179,grown,0.2,12,moments,9.6605065e-05,0.042319836,5.9670108e-05,0.02916781
13179,grown,0.2,12,diag,9.235815e-05,0.042319836,4.7434071e-05,0.02916781
13447,grown,0.2,16,2b,0.0038074668,0.16747096,0.0005400508,0.070753674
13447,grown,0.2,16,b1,0.00076651276,0.16747096,0.00022274533,0.070753674
13447,grown,0.2,16,moments,0.00035033343,0.16747096,0.00021617171,0.070753674
13447,grown,0.2,16,diag,0.00019429,0.16747096,0.00010596124,0.070753674
13553,grown,0.2,16,2b,0.0039403245,0.41038294,0.001066873,0.10742773
13553,grown,0.2,16,b1,0.0010587172,0.41038294,0.00031284394,0.10742773
13553,grown,0.2,16,moments,0.00045031159,0.41038294,0.00023202004,0.10742773
13553,grown,0.2,16,diag,0.00047964633,0.41038294,0.00016136722,0.10742773
13372,grown,0.2,16,2b,0.0011403229,0.42085876,0.00035050929,0.055625786
13372,grown,0.2,16,b1,0.00046613273,0.42085876,0.00014925932,0.055625786
13372,grown,0.2,16,moments,0.00020506087,0.42085876,0.00011134192,0.055625786
13372,grown,0.2,16,diag,0.00019064315,0.42085876,0.00011945425,0.055625786
14284,grown,0.2,16,2b,0.0074070208,0.25524445,0.0014625946,0.09565647
14284,grown,0.2,16,b1,0.0019119893,0.25524445,0.00054016928,0.09565647
14284,grown,0.2,16,moments,0.00071430206,0.25524445,0.00030550403,0.09565647
14284,grown,0.2,16,diag,0.00056981441,0.25524445,0.00021644137,0.09565647
13910,grown,0.2,16,2b,0.0020247207,0.2857031,0.0006142661,0.050840485
13910,grown,0.2,16,b1,0.00079812113,0.2857031,0.00022101891,0.050840485
13910,grown,0.2,16,moments,0.00026989366,0.2857031,0.00020189666,0.050840485
13910,grown,0.2,16,diag,0.00031667516,0.2857031,0.00016417584,0.050840485
14181,grown,0.2,16,2b,0.0026093996,0.089817261,0.00043061721,0.049460464
14181,grown,0.2,16,b1,0.00053768287,0.089817261,0.00020577727,0.049460464
14181,grown,0.2,16,moments,0.00024499867,0.089817261,0.00010753255,0.049460464
14181,grown,0.2,16,diag,0.00021334115,0.089817261,0.00010032232,0.049460464
14693,grown,0.2,24,2b,0.0064582483,0.1454556,0.0010155532,0.080694567
14693,grown,0.2,24,b1,0.0013589034,0.1454556,0.00029742934,0.080694567
14693,grown,0.2,24,moments,0.00053841,0.1454556,0.00019674269,0.080694567
14693,grown,0.2,24,diag,0.00049829319,0.1454556,0.00012881608,0.080694567
14381,grown,0.2,24,2b,0.0058916123,0.2809981,0.00081429443,0.085461675
14381,grown,0.2,24,b1,0.0016708,0.2809981,0.00039898937,0.085461675
14381,grown,0.2,24,moments,0.00055852466,0.2809981,0.00027884356,0.085461675
14381,grown,0.2,24,diag,0.00048658916,0.2809981,0.00023872747,0.085461675
14533,grown,0.2,24,2b,0.0047220285,0.76093445,0.0010747132,0.068432357
14533,grown,0.2,24,b1,0.0013296713,0.76093445,0.00046590925,0.068432357
14533,grown,0.2,24,moments,0.00062851823,0.76093445,0.00031530268,0.068432357
14533,grown,0.2,24,diag,0.00048800717,0.76093445,0.00023851801,0.068432357
