case,n,loading,policy,order,pdeg,mac,hilbert_q,buckets,near_pairs,far_ms,traverse_ms,p2p_ms,upward_ms,build_ms,rel_far
uniform100k,100000,random,cart,4,,0.33,26.0,17575,2803175,26.944094337522984,12.927807807922363,1.2382400035858154,2.079114,7.888191,0.0006228986077687062
uniform100k,100000,random,cart,4,,0.33,28.0,21925,2390225,27.23758202046156,13.088319778442383,1.0622080564498901,2.231593,8.087779,0.0006250509983459211
uniform100k,100000,random,cart,4,,0.33,36.0,44051,1928114,29.92278492699067,13.751232147216797,0.8726720213890076,3.181006,9.082113,0.0006625849730051962
uniform750k,750000,random,bary,,7,0.8,,1330,3811566,67.84780323505402,44.366111755371094,9.384832382202148,5.460899,4.304258,0.0007794237479685375
uniform750k,750000,random,bary,,7,0.8,12.0,1730,3695808,69.15074680000544,49.66774368286133,6.436863899230957,3.89938,4.761424,0.0007799673812015087
uniform750k,750000,random,bary,,7,0.8,14.0,2746,4069842,69.18962330867846,50.69174575805664,4.885024070739746,3.434484,5.741957,0.0007844222606836735
uniform750k,750000,random,bary,,7,0.8,16.0,4098,4438718,71.35457017769416,53.25619125366211,4.39631986618042,2.902028,6.372632,0.0007734689021922727
uniform750k,750000,random,bary,,7,0.8,18.0,5834,4877650,76.3922156766057,57.60905456542969,3.9605119228363037,3.278806,7.220915,0.0007852041839519532
uniform750k,750000,random,bary,,7,0.8,20.0,8002,5320619,81.76048534611861,62.37580871582031,3.7736001014709473,3.465234,7.520884,0.0007722978218847261
uniform750k,750000,random,bary,,7,0.8,22.0,10650,5779608,85.37072129547596,65.5066909790039,3.631135940551758,3.786811,7.698352,0.0007939509817586389
uniform750k,750000,random,bary,,7,0.8,26.0,17578,6739628,91.47345243642728,70.25667572021484,4.181375980377197,4.273248,7.99022,0.0007836630500133045
uniform750k,750000,random,bary,,7,0.8,28.0,21954,7230358,94.49207317084074,72.86681365966797,4.18393611907959,4.409787,7.97659,0.0007715833069448907
uniform750k,750000,random,bary,,7,0.8,36.0,46658,9182403,109.77607779204845,84.34054565429688,4.06547212600708,6.342592,9.439449,0.0007737800618205283
uniform750k,750000,random,cart,4,,0.33,,1330,44735540,173.3004773656527,39.70198440551758,122.83229064941406,3.862841,4.505106,0.0007682080140071996
uniform750k,750000,random,cart,4,,0.33,12.0,1730,43552964,139.88349183152118,47.899871826171875,79.80499267578125,2.931348,4.864173,0.0007785653710631989
uniform750k,750000,random,cart,4,,0.33,14.0,2746,44869921,123.9326884970069,52.909759521484375,57.05491256713867,2.492782,5.903716,0.0007648734935315519
uniform750k,750000,random,cart,4,,0.33,16.0,4098,45676406,118.1685949365298,58.74879837036133,46.475807189941406,2.141634,6.419951,0.0007843922094585939
uniform750k,750000,random,cart,4,,0.33,18.0,5834,46089643,120.35460211336613,67.97401428222656,39.288448333740234,2.355882,7.289085,0.0007877145640468315
uniform750k,750000,random,cart,4,,0.33,20.0,8002,46132659,125.30538129309814,76.83993530273438,34.242496490478516,2.285373,7.526443,0.0007913112153792203
uniform750k,750000,random,cart,4,,0.33,22.0,10650,45870274,126.94695902367432,83.40144348144531,29.143840789794922,2.288943,7.738282,0.0007907273294838222
uniform750k,750000,random,cart,4,,0.33,26.0,17578,44567240,136.68221235275269,92.78559875488281,27.787967681884766,2.370312,8.112118,0.0008090998055023625
