backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha,label,mac,max_leaf,pdeg,fp32_level,hilbert_q,pair_budget_gb
widebvh,1047968,30,0.3,387.526,11.188,588.576,1408.201,2008.705,2397.201,19378852,2397.236,226.048,142093488.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,31,0.31,382.507,11.083,591.052,1410.396,2013.303,2396.805,19414078,2396.842,225.442,144027088.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,32,0.32,392.129,11.248,591.373,1412.509,2015.889,2408.978,19461510,2409.016,224.845,145917920.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,33,0.33,390.855,11.698,590.796,1418.68,2022.056,2414.03,19515126,2414.069,224.262,147771376.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,34,0.34,390.456,11.242,593.261,1421.869,2027.159,2419.066,19572078,2419.105,223.693,149592944.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,35,0.35,380.934,11.168,599.901,1422.565,2034.387,2416.282,19631930,2416.317,223.143,151387424.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,36,0.36,385.052,11.184,620.858,1430.683,2063.481,2449.53,19690336,2449.567,222.612,153196224.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,37,0.37,383.949,11.38,597.971,1435.103,2045.213,2430.129,19753316,2430.164,222.105,155163008.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,38,0.38,389.228,11.472,600.499,1436.021,2048.764,2438.981,19821424,2439.013,221.623,157289360.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,39,0.39,377.5,11.576,608.199,1451.766,2072.332,2450.811,19886004,2450.848,221.169,159529952.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
