case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms,fp32_level,rel_asym,rel_asym_stderr,asym_probes,pair_budget_gb,gpu
twodrop0,1047968,gravity,widebvh,bary,,5,256,0.8,,3.314559228007349e-05,3.313935112674435e-05,278.7391806668893,7322351.0,215.7375030517578,27.62019157409668,18.208795000000002,8.628045,3,0.004609193680716037,0.0013547370525906499,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,256,0.9,,7.320410136230586e-05,7.319031738713766e-05,228.5287196658222,7141470.0,169.53797912597656,26.23967933654785,18.596955,8.299795,3,0.010928789489784436,0.002169878708846465,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,256,1.0,,0.00014070116780471234,0.00014067467446121016,217.83102799963672,7139518.0,158.3198699951172,26.39334487915039,18.222723000000002,8.513277,3,0.014729623396001375,0.002784231349047295,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,512,0.6,,5.473485381154111e-06,5.472454750558648e-06,519.2458299995147,16963558.0,369.17169189453125,120.39759826660156,17.454233000000002,9.702133,3,0.00040323327324641537,9.307956956120936e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,512,0.7,,1.497755214055575e-05,1.4974731940554055e-05,366.6414470001958,10834680.0,264.2690124511719,73.60182189941406,17.473647,8.200695,3,0.001664372247104192,0.0002811995321938685,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,512,0.8,,3.439700143919776e-05,3.4390524651628824e-05,271.98976766643074,7396517.0,194.65603637695312,45.533409118652344,17.459623999999998,8.379006,3,0.00336384029358541,0.0008720403520353171,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,512,0.9,,7.658567378493049e-05,7.657125307617172e-05,223.42612233236045,6633239.0,148.7980499267578,39.73468780517578,17.566470000000002,8.242857,3,0.008272786177095958,0.0015108943666590185,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,512,1.0,,0.0001436870237048356,0.00014365996813923363,208.51259999957014,6627906.0,137.21356201171875,39.702911376953125,17.015867,8.09582,3,0.011986430378231175,0.0027387213200034395,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.6,,5.451944182614064e-06,5.450917608121199e-06,554.6342329992816,16790878.0,313.7845764160156,215.17001342773438,15.581700999999999,9.050032,3,0.0004555384967140559,8.734160772938358e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.7,,1.4927333327105044e-05,1.4924522583060936e-05,394.0360360005191,10820533.0,232.21434020996094,134.10928344726562,15.756054,9.222696,3,0.001361675349176381,0.00022885708087803274,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.8,,3.3653016338508655e-05,3.364667963970472e-05,293.5226996669371,7335886.0,178.09429931640625,85.94000244140625,15.478493,9.309036,3,0.0035314246061077226,0.0006527924884066213,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,0.9,,7.546978385869768e-05,7.545557326656829e-05,234.26509466662537,5946155.0,140.6846466064453,68.3967056274414,15.729295999999998,9.30225,3,0.008901832791750684,0.0018869314990635645,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,1024,1.0,,0.00014717314348060937,0.00014714543149566028,220.4538243325563,5918843.0,123.55763244628906,67.66719818115234,15.466524,9.37929,3,0.014779457946847778,0.003716489562175317,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,2048,0.6,,5.8580183660902475e-06,5.8569153298096235e-06,603.076377333006,14048292.0,257.0293884277344,313.83526611328125,14.6759,10.92359,3,0.00043879245835596275,8.59167269685174e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,2048,0.7,,1.731061229420766e-05,1.7307352790360617e-05,421.0211249992426,9123685.0,195.2896270751953,195.3796844482422,14.636532,11.054998,3,0.0013276925043929368,0.0002559536917693593,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,2048,0.8,,4.0157962439997634e-05,4.015040089157647e-05,310.09459433334996,6222836.0,153.21865844726562,125.34825897216797,14.584768,11.495606,3,0.0033528365016371768,0.0008176794837927415,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,2048,0.9,,8.625682235378497e-05,8.624058061493036e-05,240.72445100076342,4801389.0,114.6416015625,93.13929748535156,14.668279,10.833655,3,0.007566642467195489,0.0013278110804604522,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,gravity,widebvh,bary,,5,2048,1.0,,0.0001485157813415423,0.0001484878165444339,234.07304366628523,4762051.0,104.90211486816406,91.92195129394531,14.565244999999999,10.160821,3,0.013614143801913598,0.0030616086284389974,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
