N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.2,8424,random,stack+ref1,0.00045709547869,6374,3.318448554510677e-14,fine,14.560469253012096,39.65250084070138,3.6951083300597434,19.308401107790782,14.93054198035632,50.13841254914052
200,0.2,8424,random,stack+ref2,0.00045709547869,6374,3.318448554510677e-14,fine,10.577967130020102,28.62102267043364,2.9602759733026964,14.13736718576236,10.856516273822574,33.217666711073
200,0.2,8424,random,stack+full,0.00045709547869,6374,3.318448554510677e-14,fine,12.00914614684696,32.57494730744637,3.243635176978732,15.806846193044352,12.304026032079593,38.90417537761741
200,0.2,8424,random,stack+ref1_uncov,0.00045709547869,6374,3.318448554510677e-14,fine,3.027193791176415,8.169082150513573,0.8771325062906584,5.056900987609393,3.2058572196001625,10.30632215893193
200,0.2,8424,random,pnear+ref1_far,0.00045709547869,6374,3.318448554510677e-14,fine,1.1762145342929091,3.125775374073355,0.4006691096167679,1.1721289810578654,1.1759377008018492,4.639758303683748
200,0.2,8424,random,pnear+full_far,0.00045709547869,6374,3.318448554510677e-14,fine,0.7167801777112873,1.853278343691667,0.2964272188129901,0.601847414284662,0.7095689080439125,2.7620238539119386
200,0.2,8425,gravity,rpy,3.273244987304921e-06,6369,8.0281413400097e-15,fine,7.661733854277203,49.34353740313456,5.913369012711926,45.8896881965192,7.783016134369775,13.21492001229524
200,0.2,8425,gravity,2b,3.273244987304921e-06,6369,8.0281413400097e-15,fine,6.920153309854786,47.52146074890759,5.080280805493837,44.95858900530762,7.049410706449296,12.106895666005414
200,0.2,8425,gravity,near_nn,3.273244987304921e-06,6369,8.0281413400097e-15,fine,3.1602698132973392,30.020463805655623,1.041571145780671,25.065233965679425,3.2485438071569885,6.602756484398594
200,0.2,8425,gravity,stack_nn,3.273244987304921e-06,6369,8.0281413400097e-15,fine,3.2126902659305303,30.31114973148807,1.1167370623608963,25.293438601294856,3.3011089071082904,6.88417135061819
200,0.2,8425,gravity,near_ex,3.273244987304921e-06,6369,8.0281413400097e-15,fine,2.2762708600406616,17.44206918845993,1.4813210938507897,11.38418355839424,2.301141680909977,4.507360908209136
