case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
uniform100k,100000,random,widebvh-cart,cart,2,,1024,0.6,,0.04095735172367105,0.039452131426653825,9.2500156412522,1062857.0,1.639359951019287,0.7698879837989807,5.412489,0.497466
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.15,,4.1803209157554604e-05,4.026690282288401e-05,68.64251537869374,38774377.0,31.563615798950195,29.2957763671875,5.583417000000001,0.954812
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.2,,0.00016283946861435713,0.00015685496856739315,46.036925787727036,19946930.0,23.473344802856445,15.126527786254883,5.458018,0.947583
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.25,,0.00045696937915401964,0.00044017533472315236,24.373435725768406,11428619.0,8.313119888305664,8.656352043151855,5.412758999999999,0.950632
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.3,,0.0010309680786677823,0.0009930790547861253,18.854608138402302,7123810.0,6.14192008972168,5.369088172912598,5.417319,0.947303
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.35,,0.002004948982865656,0.0019312652661093977,15.547580706576506,4713535.0,4.704031944274902,3.5429439544677734,5.414878,0.948902
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.4,,0.0035576131924888077,0.003426867639836889,13.419200045367083,3280125.0,3.682080030441284,2.4098238945007324,5.422159,0.947593
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.5,,0.009021122839680706,0.008689588289014793,10.988565782705942,1777544.0,2.4148480892181396,1.2806400060653687,5.382948,0.948652
uniform100k,100000,random,widebvh-cart,cart,3,,1024,0.6,,0.01897739360345641,0.0182799569569386,9.775278468926748,1062857.0,1.696287989616394,0.7688320279121399,5.431318,0.945143
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.15,,4.584581040419781e-06,4.416093476040175e-06,74.75503471990426,38774377.0,36.752960205078125,29.266143798828125,5.575267,1.825305
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.2,,2.6149539803529356e-05,2.5188520196219545e-05,51.47083414097627,19946930.0,27.82694435119629,15.121343612670898,5.482617,1.819356
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.25,,8.903705579021848e-05,8.576486220538191e-05,27.455122210085392,11428619.0,9.973119735717773,8.6495361328125,5.451338,1.821606
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.3,,0.00023774479061555904,0.00022900745118113885,20.944112601379555,7123810.0,7.345727920532227,5.3685760498046875,5.448098,1.820205
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.35,,0.0005396908096479199,0.0005198566766630421,17.322516689697903,4713535.0,5.570623874664307,3.5428481101989746,5.409948,1.816326
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.4,,0.0010883879835840457,0.001048388725453947,15.01555802921454,3280125.0,4.3349761962890625,2.457184076309204,5.439539,1.813666
