case,n,loading,backend,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
uniform100k,100000,gravity,widebvh,7,1024,0.7,,2.3016653880650397e-07,2.299752466232451e-07,17.05936373521884,726686.0,8.429247856140137,0.5215680003166199,5.548066,1.199435
uniform100k,100000,gravity,widebvh,7,1024,0.8,,8.72595083041686e-07,8.718698663381568e-07,14.662600277612606,708498.0,6.227456092834473,0.5056959986686707,5.5501059999999995,1.200565
uniform100k,100000,gravity,widebvh,7,1024,0.9,,3.1317260215025144e-06,3.1291232334902853e-06,13.781934355696043,707395.0,5.394688129425049,0.5045120120048523,5.528046,1.195045
uniform100k,100000,random,widebvh,3,1024,0.4,,0.0007997932481618328,0.0007704001116457637,20.152483601123095,3280125.0,10.72105598449707,2.3433918952941895,5.538226,0.378038
uniform100k,100000,random,widebvh,3,1024,0.5,,0.0021812378711591105,0.002101075375828784,15.325100937237343,1777544.0,7.009183883666992,1.2337599992752075,5.521086,0.377979
uniform100k,100000,random,widebvh,3,1024,0.6,,0.004880399724261196,0.004701040551527633,12.650098962088427,1062857.0,4.822720050811768,0.7424960136413574,5.523156999999999,0.375738
uniform100k,100000,random,widebvh,3,1024,0.7,,0.009627439549978698,0.009273622303280127,11.097525712102652,726686.0,3.525023937225342,0.5142719745635986,5.541696,0.369699
uniform100k,100000,random,widebvh,3,1024,0.8,,0.01846257181646876,0.017784055343509752,10.224446033438047,708498.0,2.652672052383423,0.5040959715843201,5.526555999999999,0.387528
uniform100k,100000,random,widebvh,3,1024,0.9,,0.029695504794729082,0.028604167716864123,9.88176433990399,707395.0,2.3055360317230225,0.5024319887161255,5.527756999999999,0.374038
uniform100k,100000,random,widebvh,5,1024,0.4,,2.186814693541982e-05,2.1064472448665222e-05,25.85393904397885,3280125.0,16.105600357055664,2.3754239082336426,5.546785999999999,0.640967
uniform100k,100000,random,widebvh,5,1024,0.5,,9.452754213385568e-05,9.105356813263143e-05,19.03846502924959,1777544.0,10.39465618133545,1.242624044418335,5.559046,0.633797
uniform100k,100000,random,widebvh,5,1024,0.6,,0.0003164778670133693,0.0003048470147014527,15.409930609166622,1062857.0,7.182591915130615,0.7451199889183044,5.528757,0.661527
uniform100k,100000,random,widebvh,5,1024,0.7,,0.0009405346319685084,0.0009059691203202437,13.0553573059539,726686.0,5.20198392868042,0.5187519788742065,5.527376,0.642127
uniform100k,100000,random,widebvh,5,1024,0.8,,0.0024955340482611076,0.0024038208797270873,11.72098626072208,708498.0,3.8683199882507324,0.5026879906654358,5.526946,0.638927
uniform100k,100000,random,widebvh,5,1024,0.9,,0.0052500360506388165,0.005057092403383262,11.181348313887915,707395.0,3.3464319705963135,0.502623975276947,5.534257,0.654377
uniform100k,100000,random,widebvh,7,1024,0.4,,6.879445626260718e-07,6.626619680414972e-07,37.37901632363597,3280125.0,26.822463989257812,2.3989439010620117,5.559796,1.211134
uniform100k,100000,random,widebvh,7,1024,0.5,,4.524691408041861e-06,4.358404842663468e-06,26.624529001613457,1777544.0,17.339008331298828,1.2712639570236206,5.524287,1.207425
uniform100k,100000,random,widebvh,7,1024,0.6,,2.3459197995089704e-05,2.2597050920440177e-05,20.58388836060961,1062857.0,11.820223808288574,0.7589759826660156,5.547146,1.233345
uniform100k,100000,random,widebvh,7,1024,0.7,,0.00010248903065276729,9.872246463548724e-05,16.91545406356454,726686.0,8.483903884887695,0.5220800042152405,5.5334769999999995,1.198255
uniform100k,100000,random,widebvh,7,1024,0.8,,0.0003853434392814093,0.00037118171393251233,14.679313637316227,708498.0,6.218783855438232,0.5066879987716675,5.529537,1.250645
uniform100k,100000,random,widebvh,7,1024,0.9,,0.001099597473913764,0.0010591862567176265,13.775790575891733,707395.0,5.346848011016846,0.5058559775352478,5.528426,1.196665
uniform100k,100000,gravity,warpfmm,,16,,0.3,0.0011423603044024054,0.0011414108849175815,18.253458198159933,0,0,0,0,0
uniform100k,100000,gravity,warpfmm,,16,,0.28,0.0009723004081336982,0.000971492325999693,21.652303636074066,0,0,0,0,0
uniform100k,100000,gravity,warpfmm,,16,,0.2,0.0004515794743897137,0.0004512041651722278,49.51607063412666,0,0,0,0,0
uniform100k,100000,random,warpfmm,,16,,0.3,0.01418954645882885,0.01366806759272936,18.281018051008385,0,0,0,0,0
uniform100k,100000,random,warpfmm,,16,,0.28,0.011898910906164899,0.011461615000677734,21.655513749768335,0,0,0,0,0
uniform100k,100000,random,warpfmm,,16,,0.2,0.005359253624343852,0.005162296130933376,49.441157995412745,0,0,0,0,0
twoball0,1047968,gravity,widebvh,3,1024,0.4,,8.026414048026131e-05,8.024902701969254e-05,262.45662073294324,50683429.0,87.23664093017578,163.6359405517578,7.3440389999999995,2.21691
twoball0,1047968,gravity,widebvh,3,1024,0.5,,0.00025956465289916984,0.00025951577777108445,159.92939736073217,27827442.0,59.702816009521484,88.49100494384766,7.460008,2.228281
twoball0,1047968,gravity,widebvh,3,1024,0.6,,0.0005940142124743671,0.000593902361648783,106.9355212772886,16787678.0,42.33350372314453,52.897247314453125,7.377357999999999,2.216311
