backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
widebvh,1047968,56,0.56,105.254,2.415,26.763,144.612,174.058,279.911,20143432,279.968,220.326,211061632.0,NVIDIA H200,ac78eb4
widebvh,1047968,57,0.57,105.057,2.395,26.788,144.449,173.894,279.562,20119042,279.62,220.818,215038016.0,NVIDIA H200,ac78eb4
widebvh,1047968,58,0.58,105.431,2.418,26.712,144.262,173.656,279.687,20090378,279.742,221.383,218926288.0,NVIDIA H200,ac78eb4
widebvh,1047968,59,0.59,105.355,2.433,26.675,145.073,174.438,280.37,20065772,280.427,222.022,222667344.0,NVIDIA H200,ac78eb4
widebvh,1047968,60,0.6,105.877,2.475,26.774,144.776,174.292,280.744,20045520,280.799,222.736,226243968.0,NVIDIA H200,ac78eb4
widebvh,1047968,61,0.61,106.599,2.474,26.66,143.847,173.246,280.463,20024270,280.521,223.527,229987280.0,NVIDIA H200,ac78eb4
widebvh,1047968,62,0.62,104.503,2.515,26.608,143.704,173.087,278.185,19999620,278.241,224.395,234025632.0,NVIDIA H200,ac78eb4
widebvh,1047968,63,0.63,104.644,2.482,26.551,143.427,172.722,277.958,19969288,278.012,225.34,237877264.0,NVIDIA H200,ac78eb4
widebvh,1047968,64,0.64,105.517,2.479,26.539,143.278,172.572,278.698,19942012,278.754,226.365,241526112.0,NVIDIA H200,ac78eb4
widebvh,1047968,65,0.65,106.093,2.485,26.523,143.019,172.293,278.991,19914114,279.047,227.468,245729920.0,NVIDIA H200,ac78eb4
widebvh,1047968,66,0.66,106.591,2.474,26.453,142.89,172.078,279.282,19885998,279.338,228.651,249911920.0,NVIDIA H200,ac78eb4
widebvh,1047968,67,0.67,106.973,2.516,26.451,142.935,172.26,280.182,19862774,280.248,229.913,253871456.0,NVIDIA H200,ac78eb4
widebvh,1047968,68,0.68,106.634,2.832,26.442,142.505,172.09,279.415,19833356,279.474,231.254,257647072.0,NVIDIA H200,ac78eb4
widebvh,1047968,69,0.69,106.041,2.488,26.36,142.279,171.388,278.042,19794080,278.097,232.673,261741920.0,NVIDIA H200,ac78eb4
widebvh,1047968,70,0.7,107.055,2.476,26.231,142.007,170.985,278.635,19751598,278.692,234.172,265623856.0,NVIDIA H200,ac78eb4
